timestamp,macModule,rssi,metre
2022-11-18 09:20:50.537,C45BBE39F56A,-79,52
2022-11-18 09:20:41.208,C45BBE37B346,-72,52
2022-11-18 09:20:40.538,C45BBE39F56A,-72,52
2022-11-18 09:20:39.446,C45BBE386952,-71,52
2022-11-18 09:20:31.639,C45BBE37B346,-61,52
2022-11-18 09:20:28.835,C45BBE39F56A,-75,52
2022-11-18 09:20:25.763,C45BBE386952,-76,52
2022-11-18 09:20:22.064,C45BBE37B346,-61,52
2022-11-18 09:20:20.907,C45BBE39F56A,-77,52
2022-11-18 09:20:10.591,C45BBE37B346,-59,52
2022-11-18 09:20:09.145,C45BBE39F56A,-78,52
2022-11-18 09:20:01.058,C45BBE37B346,-61,52
2022-11-18 09:19:53.267,C45BBE39F56A,-74,52
2022-11-18 09:19:49.306,C45BBE37B346,-63,52
2022-11-18 09:19:41.306,C45BBE37B346,-60,52
2022-11-18 09:19:39.494,C45BBE39F56A,-74,52
2022-11-18 09:19:31.806,C45BBE37B346,-62,52
2022-11-18 09:19:31.779,C45BBE39F56A,-71,52
2022-11-18 09:19:21.965,C45BBE39F56A,-71,52
2022-11-18 09:19:20.301,C45BBE37B346,-63,52
2022-11-18 09:19:12.023,C45BBE39F56A,-72,52
2022-11-18 09:19:10.658,C45BBE37B346,-62,52
2022-11-18 09:19:00.955,C45BBE37B346,-61,52
2022-11-18 09:19:00.372,C45BBE39F56A,-71,52
2022-11-18 09:24:58.605,C45BBE386952,-80,53
2022-11-18 09:24:51.235,C45BBE39F56A,-58,53
2022-11-18 09:24:50.824,C45BBE386952,-76,53
2022-11-18 09:24:50.439,C45BBE37B346,-71,53
2022-11-18 09:24:40.873,C45BBE37B346,-69,53
2022-11-18 09:24:39.291,C45BBE39F56A,-80,53
2022-11-18 09:24:39.033,C45BBE386952,-79,53
2022-11-18 09:24:31.399,C45BBE39F56A,-78,53
2022-11-18 09:24:31.087,C45BBE37B346,-75,53
2022-11-18 09:24:23.448,C45BBE386952,-78,53
2022-11-18 09:24:19.628,C45BBE37B346,-80,53
2022-11-18 09:24:17.774,C45BBE39F56A,-60,53
2022-11-18 09:24:17.642,C45BBE386952,-80,53
2022-11-18 09:24:12.083,C45BBE39F56A,-66,53
2022-11-18 09:24:12.071,C45BBE37B346,-61,53
2022-11-18 09:24:11.865,C45BBE386952,-69,53
2022-11-18 09:24:00.462,C45BBE39F56A,-57,53
2022-11-18 09:23:56.705,C45BBE37B346,-64,53
2022-11-18 09:23:53.177,C45BBE386952,-72,53
2022-11-18 09:23:50.922,C45BBE37B346,-67,53
2022-11-18 09:23:48.799,C45BBE39F56A,-74,53
2022-11-18 09:23:45.377,C45BBE386952,-78,53
2022-11-18 09:23:41.449,C45BBE37B346,-67,53
2022-11-18 09:23:41.404,C45BBE386952,-72,53
2022-11-18 09:23:40.982,C45BBE39F56A,-56,53
2022-11-18 09:23:31.851,C45BBE37B346,-75,53
2022-11-18 09:23:31.595,C45BBE386952,-66,53
2022-11-18 09:23:31.257,C45BBE39F56A,-69,53
2022-11-18 09:23:21.526,C45BBE39F56A,-75,53
2022-11-18 09:23:20.353,C45BBE37B346,-68,53
2022-11-18 09:23:13.197,C45BBE386952,-80,53
2022-11-18 09:23:08.879,C45BBE37B346,-71,53
2022-11-18 09:23:03.861,C45BBE39F56A,-78,53
