macModule,rssi,Time,Position (m)
C45BBE39F56A,-79,13:23:50.670000,43
C45BBE386952,-78,13:23:59.918000,43
A8032A31204E,-76,13:24:02.041000,44
C45BBE37B346,-77,13:24:11.869000,44
C45BBE386952,-77,13:24:13.378000,44
C45BBE37B346,-76,13:24:21.375000,44
C45BBE386952,-73,13:24:23.030000,44
C45BBE39F56A,-77,13:24:23.885000,44
C45BBE37B346,-78,13:24:31.051000,44
A8032A31204E,-80,13:24:37.222000,44
C45BBE37B346,-75,13:24:42.598000,44
C45BBE386952,-73,13:24:42.817000,44
C45BBE39F56A,-79,13:24:43.354000,44
A8032A31204E,-80,13:24:48.660000,44
C45BBE37B346,-77,13:24:52.198000,44
C45BBE386952,-78,13:24:52.488000,44
C45BBE37B346,-76,13:24:56.128000,44
C45BBE37B346,-76,13:25:07.678000,44
C45BBE386952,-78,13:25:08.120000,44
A8032A31204E,-79,13:25:11.613000,44
C45BBE39F56A,-79,13:25:18.565000,44
A8032A31204E,-78,13:25:21.325000,44
C45BBE386952,-80,13:25:21.924000,44
C45BBE37B346,-79,13:25:23.057000,44
A8032A31204E,-79,13:25:28.983000,44
C45BBE39F56A,-74,13:25:30.232000,44
C45BBE37B346,-75,13:25:30.696000,44
C45BBE386952,-77,13:25:31.565000,44
C45BBE37B346,-76,13:25:49.842000,44
A8032A31204E,-80,13:25:51.972000,44
C45BBE386952,-76,13:25:56.691000,44
C45BBE37B346,-76,13:26:03.241000,45
A8032A31204E,-80,13:26:09.181000,45
C45BBE37B346,-77,13:26:10.927000,45
C45BBE386952,-76,13:26:12.246000,45
C45BBE386952,-74,13:26:20.076000,45
C45BBE37B346,-77,13:26:20.550000,45
A8032A31204E,-77,13:26:22.618000,45
C45BBE386952,-80,13:26:31.742000,45
C45BBE37B346,-71,13:26:32.016000,45
C45BBE39F56A,-75,13:26:32.388000,45
C45BBE37B346,-73,13:26:41.610000,45
C45BBE39F56A,-80,13:26:42.146000,45
C45BBE37B346,-76,13:26:47.411000,45
A8032A31204E,-79,13:26:49.409000,45
C45BBE386952,-78,13:26:51.082000,45
C45BBE39F56A,-80,13:26:51.917000,45
C45BBE39F56A,-75,13:26:57.705000,45
C45BBE386952,-78,13:26:58.859000,45
C45BBE39F56A,-80,13:27:09.273000,45
C45BBE37B346,-69,13:27:10.373000,45
C45BBE386952,-75,13:27:10.549000,45
A8032A31204E,-78,13:27:12.507000,45
C45BBE37B346,-79,13:27:19.945000,45
C45BBE386952,-77,13:27:26.090000,45
C45BBE39F56A,-78,13:27:26.903000,45
C45BBE37B346,-79,13:27:31.484000,45
C45BBE39F56A,-79,13:27:38.627000,45
A8032A31204E,-75,13:27:39.344000,45
C45BBE386952,-79,13:27:39.614000,45
C45BBE37B346,-78,13:27:41.083000,45
C45BBE386952,-70,13:27:49.343000,45
C45BBE39F56A,-77,13:27:50.368000,45
C45BBE37B346,-72,13:27:50.617000,45
A8032A31204E,-78,13:27:52.759000,45
C45BBE39F56A,-75,13:27:56.137000,45
C45BBE386952,-79,13:27:57.109000,45
C45BBE37B346,-74,13:28:00.197000,46
C45BBE386952,-79,13:28:05.052000,46
A8032A31204E,-77,13:28:06.387000,46
C45BBE37B346,-74,13:28:11.716000,46
C45BBE39F56A,-79,13:28:14.068000,46
A8032A31204E,-76,13:28:16.059000,46
C45BBE37B346,-80,13:28:23.183000,46
A8032A31204E,-74,13:28:27.444000,46
C45BBE39F56A,-78,13:28:28.206000,46
C45BBE386952,-78,13:28:30.345000,46
C45BBE37B346,-77,13:28:31.042000,46
C45BBE37B346,-70,13:28:40.546000,46
C45BBE386952,-80,13:28:42.136000,46
C45BBE39F56A,-79,13:28:42.256000,46
C45BBE39F56A,-76,13:28:44.090000,46
C45BBE386952,-73,13:28:46.056000,46
C45BBE37B346,-76,13:28:46.274000,46
A8032A31204E,-76,13:28:50.945000,46
C45BBE386952,-80,13:28:59.530000,46
C45BBE39F56A,-80,13:29:02.178000,46
A8032A31204E,-77,13:29:02.441000,46
C45BBE37B346,-78,13:29:03.548000,46
A8032A31204E,-78,13:29:04.273000,46
C45BBE39F56A,-76,13:29:10.467000,46
C45BBE386952,-80,13:29:11.333000,46
C45BBE37B346,-79,13:29:13.303000,46
C45BBE37B346,-72,13:29:21.434000,46
C45BBE39F56A,-77,13:29:22.312000,46
C45BBE386952,-76,13:29:22.842000,46
C45BBE386952,-77,13:29:28.658000,46
A8032A31204E,-79,13:29:29.739000,46
C45BBE37B346,-73,13:29:32.771000,46
C45BBE39F56A,-76,13:29:33.917000,46
A8032A31204E,-79,13:29:35.573000,46
C45BBE37B346,-76,13:29:40.443000,46
C45BBE37B346,-75,13:29:51.909000,46
A8032A31204E,-79,13:29:52.862000,46
C45BBE386952,-76,13:29:53.631000,46
C45BBE39F56A,-73,13:29:59.354000,46
C45BBE37B346,-80,13:30:01.439000,47
C45BBE39F56A,-73,13:30:11.019000,47
C45BBE386952,-80,13:30:11.154000,47
C45BBE37B346,-73,13:30:20.696000,47
C45BBE386952,-76,13:30:20.844000,47
A8032A31204E,-78,13:30:21.854000,47
C45BBE39F56A,-72,13:30:22.649000,47
C45BBE39F56A,-68,13:30:24.617000,47
C45BBE386952,-78,13:30:24.698000,47
A8032A31204E,-79,13:30:29.562000,47
C45BBE37B346,-80,13:30:32.163000,47
C45BBE37B346,-78,13:30:41.735000,47
C45BBE386952,-80,13:30:42.065000,47
C45BBE39F56A,-78,13:30:42.087000,47
C45BBE386952,-71,13:30:49.754000,47
C45BBE39F56A,-78,13:30:49.932000,47
A8032A31204E,-79,13:30:50.634000,47
C45BBE37B346,-80,13:30:53.252000,47
C45BBE37B346,-77,13:31:00.928000,47
C45BBE37B346,-78,13:31:06.670000,47
C45BBE39F56A,-74,13:31:07.718000,47
C45BBE386952,-77,13:31:11.018000,47
C45BBE37B346,-73,13:31:16.203000,47
C45BBE386952,-77,13:31:18.735000,47
C45BBE39F56A,-78,13:31:21.352000,47
A8032A31204E,-79,13:31:23.171000,47
C45BBE386952,-78,13:31:26.511000,47
C45BBE39F56A,-71,13:31:27.165000,47
A8032A31204E,-80,13:31:30.963000,47
C45BBE37B346,-80,13:31:31.682000,47
C45BBE37B346,-78,13:31:37.413000,47
A8032A31204E,-80,13:31:42.464000,47
C45BBE386952,-80,13:31:55.386000,47
C45BBE39F56A,-80,13:31:58.408000,47
C45BBE386952,-69,13:32:08.877000,48
C45BBE37B346,-76,13:32:11.786000,48
C45BBE39F56A,-79,13:32:12.036000,48
C45BBE37B346,-77,13:32:15.596000,48
C45BBE39F56A,-80,13:32:17.973000,48
C45BBE386952,-80,13:32:22.475000,48
C45BBE37B346,-70,13:32:23.570000,48
C45BBE386952,-79,13:32:24.309000,48
A8032A31204E,-79,13:32:37.306000,48
C45BBE386952,-77,13:32:40.395000,48
C45BBE39F56A,-64,13:32:41.299000,48
C45BBE37B346,-75,13:32:43.296000,48
C45BBE37B346,-76,13:32:51.079000,48
C45BBE39F56A,-70,13:32:55.232000,48
C45BBE37B346,-79,13:32:56.762000,48
A8032A31204E,-67,13:33:02.519000,48
C45BBE39F56A,-65,13:33:14.830000,48
C45BBE37B346,-79,13:33:21.742000,48
C45BBE39F56A,-77,13:33:26.587000,48
C45BBE386952,-75,13:33:32.967000,48
C45BBE37B346,-66,13:33:33.204000,48
C45BBE39F56A,-77,13:33:40.198000,48
C45BBE386952,-74,13:33:40.667000,48
C45BBE37B346,-79,13:33:42.736000,48
C45BBE39F56A,-72,13:33:51.910000,48
C45BBE386952,-74,13:33:52.299000,48
C45BBE37B346,-72,13:33:52.332000,48
C45BBE39F56A,-64,13:34:01.603000,49
C45BBE37B346,-76,13:34:01.882000,49
C45BBE386952,-71,13:34:01.882000,49
C45BBE39F56A,-79,13:34:04.294000,49
C45BBE386952,-77,13:34:07.678000,49
C45BBE37B346,-80,13:34:11.417000,49
C45BBE39F56A,-80,13:34:21.639000,49
C45BBE37B346,-80,13:34:22.915000,49
C45BBE386952,-79,13:34:23.162000,49
C45BBE37B346,-70,13:34:32.442000,49
C45BBE386952,-66,13:34:32.895000,49
C45BBE39F56A,-66,13:34:33.442000,49
C45BBE37B346,-80,13:34:40.063000,49
C45BBE386952,-74,13:34:42.583000,49
C45BBE39F56A,-74,13:34:43.071000,49
C45BBE39F56A,-80,13:34:44.982000,49
C45BBE386952,-78,13:34:46.427000,49
C45BBE37B346,-80,13:34:53.467000,49
C45BBE39F56A,-76,13:34:54.791000,49
C45BBE386952,-67,13:34:56.026000,49
C45BBE37B346,-75,13:35:02.989000,49
C45BBE39F56A,-67,13:35:08.295000,49
C45BBE386952,-79,13:35:11.470000,49
C45BBE37B346,-78,13:35:12.664000,49
A8032A31204E,-76,13:35:15.010000,49
C45BBE39F56A,-76,13:35:19.972000,49
C45BBE37B346,-70,13:35:20.297000,49
C45BBE386952,-71,13:35:21.128000,49
C45BBE39F56A,-77,13:35:23.926000,49
C45BBE386952,-80,13:35:28.927000,49
C45BBE37B346,-80,13:35:29.836000,49
C45BBE386952,-72,13:35:40.584000,49
C45BBE37B346,-79,13:35:41.313000,49
C45BBE39F56A,-76,13:35:43.405000,49
C45BBE39F56A,-80,13:35:49.230000,49
C45BBE37B346,-80,13:35:50.942000,49
C45BBE386952,-77,13:35:52.144000,49
A8032A31204E,-79,13:35:53.263000,49
C45BBE386952,-74,13:36:01.883000,50
C45BBE37B346,-72,13:36:02.339000,50
C45BBE39F56A,-76,13:36:02.842000,50
A8032A31204E,-80,13:36:02.876000,50
C45BBE386952,-77,13:36:05.757000,50
C45BBE37B346,-72,13:36:11.898000,50
C45BBE39F56A,-73,13:36:12.572000,50
A8032A31204E,-69,13:36:20.088000,50
C45BBE39F56A,-79,13:36:22.291000,50
C45BBE37B346,-78,13:36:23.349000,50
C45BBE37B346,-75,13:36:27.190000,50
C45BBE39F56A,-80,13:36:32.069000,50
C45BBE39F56A,-79,13:36:41.879000,50
C45BBE386952,-78,13:36:42.431000,50
C45BBE37B346,-74,13:36:42.452000,50
C45BBE37B346,-63,13:36:52.032000,50
C45BBE386952,-67,13:36:52.164000,50
C45BBE39F56A,-69,13:36:53.525000,50
C45BBE386952,-76,13:36:58.137000,50
C45BBE39F56A,-72,13:37:01.331000,50
C45BBE37B346,-75,13:37:03.505000,50
C45BBE386952,-72,13:37:09.781000,50
C45BBE37B346,-77,13:37:13.106000,50
C45BBE39F56A,-77,13:37:13.342000,50
C45BBE386952,-76,13:37:21.359000,50
C45BBE37B346,-61,13:37:22.685000,50
C45BBE39F56A,-62,13:37:23.060000,50
C45BBE386952,-62,13:37:27.376000,50
C45BBE39F56A,-66,13:37:31.229000,50
C45BBE37B346,-78,13:37:32.308000,50
C45BBE37B346,-73,13:37:37.981000,50
C45BBE386952,-79,13:37:42.880000,50
C45BBE39F56A,-69,13:37:43.086000,50
C45BBE386952,-79,13:37:44.787000,50
C45BBE37B346,-77,13:37:47.632000,50
C45BBE39F56A,-76,13:37:52.858000,50
C45BBE37B346,-70,13:38:00.920000,51
C45BBE386952,-78,13:38:02.305000,51
C45BBE39F56A,-77,13:38:02.706000,51
C45BBE386952,-70,13:38:12.099000,51
C45BBE37B346,-58,13:38:12.473000,51
C45BBE39F56A,-71,13:38:12.603000,51
C45BBE386952,-78,13:38:18.032000,51
C45BBE37B346,-60,13:38:20.241000,51
C45BBE39F56A,-74,13:38:22.323000,51
C45BBE386952,-79,13:38:31.447000,51
C45BBE39F56A,-71,13:38:32.111000,51
C45BBE37B346,-73,13:38:33.548000,51
C45BBE39F56A,-70,13:38:41.918000,51
